PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,2010,-12.72,-11.91,-4.29,0.95,4.51,8.23,9.64,8.15,4.79,-1.33,-5.55,-13.8,-1.06
TS,2011,-14.79,-12.53,-6.86,-1.99,3.81,7.55,8.43,7.38,5.35,-0.88,-5.26,-11.37,-1.7
TS,2012,-17.09,-11.84,-7.28,-0.52,3.16,7.91,9.23,8.3,4.66,-3.8,-9.77,-12.72,-2.46
TS,2013,-15.88,-16.57,-7.54,-1.01,3.34,8.12,8.88,7.68,4.26,-0.68,-9.22,-13.04,-2.56
TS,2014,-14.25,-12.7,-8.02,-2.39,2.63,7.88,8.3,7.55,4.8,-3.94,-7.71,-14.66,-2.67
TS,2015,-16.24,-11.58,-9.59,-2.21,2.94,6.37,8.82,7.8,5.19,-1.27,-5.98,-12.42,-2.31
TS,2016,-13.52,-10.13,-6.04,-0.42,3.65,8.19,8.17,7.31,5.21,-0.44,-7.11,-9.1,-1.17
TS,2017,-13.91,-9.42,-8.74,-1.75,2.78,7.18,8.28,7.36,5.64,0.46,-7.34,-10.16,-1.6
TS,2018,-12.24,-9.51,-5.86,-0.86,3.37,7.92,8.13,7.33,5.1,-2.65,-6.81,-13.13,-1.57
TS,2019,-14.25,-15.46,-10.61,-0.63,2.58,6.94,7.9,7.78,5.33,-0.74,-7.85,-16.01,-2.86
TS,2020,-18.5,-14.18,-8.26,-2.28,2.25,7.16,8.23,8.42,6.3,0.44,-7.39,-10.74,-2.35
TS,2021,-11.12,-9.02,-5.24,-3.67,2.96,7.69,8.26,7.68,5.37,0.37,-7.45,-12.95,-1.38
TS,2022,-16.69,-18.33,-5.04,0.73,4.01,7.24,8.55,7.58,5.27,-1.78,-7.27,-11.52,-2.18
PRECTOTCORR,2010,0,0,0,0,0,0,5.27,10.55,5.27,0,0,0,0
PRECTOTCORR,2011,0,0,0,0,0,0,5.27,5.27,5.27,0,0,0,0
PRECTOTCORR,2012,0,0,0,0,0,0,5.27,5.27,5.27,0,0,0,0
PRECTOTCORR,2013,0,0,0,0,0,5.27,5.27,5.27,5.27,5.27,0,0,0
PRECTOTCORR,2014,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,0,0
PRECTOTCORR,2015,0,0,0,0,0,0,5.27,5.27,0,0,0,0,0
PRECTOTCORR,2016,0,0,0,0,0,5.27,5.27,0,5.27,0,0,0,0
PRECTOTCORR,2017,0,0,0,0,0,0,5.27,5.27,0,0,0,0,0
PRECTOTCORR,2018,0,0,0,0,0,0,10.55,5.27,0,0,0,0,0
PRECTOTCORR,2019,0,0,0,0,0,0,5.27,5.27,5.27,0,0,0,0
PRECTOTCORR,2020,0,0,0,0,0,0,5.27,5.27,0,0,0,0,0
PRECTOTCORR,2021,0,0,0.17,0.74,2.63,3.6,7.65,7.41,4.28,2.34,0.02,0.8,2.49
PRECTOTCORR,2022,0.08,1.04,0.36,0.91,3.09,5,5.32,4.94,3.57,1.95,0,0,2.2
